                     LEU2        0.41905          0.34356          0.55238          0.40997          0.49738    
                        2          0.40952          0.37423          0.01667          0.45983          0.42408    
                        3          0.52381          0.36196          0.01429          0.43213          0.46597    
                        4          0.55238          0.43558          0.01905          0.49030          0.37696    
                        5          0.57143          0.46626          0.00000          0.59834          0.32461    
                        6          0.40000          0.57055          0.00000          0.68698          0.36649    
                        7          0.39048          0.37423          0.00000          0.69806          0.35079    
                        8          0.39048          0.39877          0.00000          0.72853          0.20942    
                        9          0.35238          0.40491          0.00714          0.73961          0.15707    
                       10          0.24762          0.45399          0.01429          0.70914          0.10995    
                       11          0.34286          0.65031          0.01429          0.65928          0.24084    
                       12          0.56190          0.64417          0.03333          0.65374          0.22513    
                       13          0.60952          0.72393          0.45000          0.72853          0.25131    
                       14          0.77143          0.60736          0.52619          0.79224          0.32461    
                       15          0.78095          0.68712          0.56190          0.73407          0.36649    
                       16          0.82857          0.72393          0.58095          0.77008          0.31414    
                       17          0.76190          0.73006          0.62143          0.78947          0.29319    
                       18          0.78095          0.67485          0.65952          0.78947          0.25654    
                       19          0.67619          0.74233          0.65714          0.73130          0.25131    
                       20          0.70476          0.70552          0.61667          0.78393          0.26702    
                       21          0.74286          0.58282          0.00952          0.75623          0.34031    
                       22          0.65714          0.60123          0.02381          0.65374          0.35602    
                       23          0.60000          0.53988          0.02143          0.57064          0.50785    
                       24          0.41905          0.55828          0.02381          0.54848          0.50785    
                       25          0.50476          0.53374          0.55952          0.47645          0.56021    
                       26          0.38095          0.47239          0.49762          0.48199          0.53403    
                       27          0.35238          0.46012          0.52857          0.54848          0.67016    
                       28          0.49524          0.49080          0.53571          0.53463          0.70157    
                       29          0.59048          0.50920          0.52619          0.55402          0.60209    
                       30          0.68571          0.54601          0.59286          0.61773          0.47120    
                       31          0.71429          0.58282          0.64286          0.64266          0.43455    
                       32          0.94286          0.58282          0.62619          0.56510          0.44503    
                       33          0.82857          0.49080          0.63333          0.49030          0.37696    
                       34          0.80952          0.49080          0.69524          0.43213          0.40838    
                       35          0.83810          0.59509          0.62619          0.47368          0.32461    
                       36          0.60000          0.69325          0.54524          0.51247          0.35079    
                       37          0.39048          0.68098          0.52381          0.55402          0.47644    
                       38          0.30476          0.59509          0.59762          0.55679          0.49215    
                       39          0.40952          0.62577          0.41667          0.63158          0.50785    
                       40          0.59048          0.69325          0.43810          0.55402          0.52880    
                       41          0.70476          0.61963          0.47381          0.53186          0.59162    
                       42          0.64762          0.45399          0.46905          0.56233          0.60209    
                       43          0.69524          0.46626          0.42857          0.56233          0.21990    
                       44          0.69524          0.46012          0.58095          0.54294          0.26178    
                       45          0.71429          0.56442          0.51905          0.50139          0.18848    
                       46          0.76190          0.63804          0.59524          0.58726          0.21466    
                       47          0.85714          0.65644          0.65714          0.61219          0.41361    
                       48          0.69524          0.80368          0.56667          0.66482          0.48168    
                       49          0.69524          0.74233          0.35714          0.61773          0.54974    
                       50          0.68571          0.79141          0.58571          0.61496          0.50785    
                       51          0.73333          0.67485          0.67857          0.57618          0.47120    
                       52          0.72381          0.71166          0.57857          0.51247          0.24607    
                       53          0.52381          0.69939          0.55000          0.54294          0.45550    
                       54          0.48571          0.58896          0.55476          0.50416          0.47644    
                       55          0.50476          0.61350          0.06190          0.56510          0.59162    
                       56          0.68571          0.60123          0.59048          0.65097          0.62827    
                       57          0.67619          0.57669          0.76429          0.63712          0.59686    
                       58          0.60952          0.44172          0.75952          0.63712          0.61780    
                       59          0.71429          0.59509          0.77857          0.57341          0.42408    
                       60          0.56190          0.50920          0.76667          0.64820          0.40838    
                       61          0.40000          0.43558          0.70714          0.63435          0.47120    
                       62          0.40000          0.25153          0.65714          0.59280          0.54450    
                       63          0.39048          0.17178          0.73095          0.61219          0.63874    
                       64          0.31429          0.39264          0.65476          0.60665          0.41361    
                       65          0.31429          0.45399          0.63571          0.59557          0.64398    
                       66          0.68571          0.50307          0.74524          0.60388          0.57068    
                       67          0.65714          0.60736          0.66905          0.58726          0.59686    
                       68          0.68571          0.62577          0.29286          0.59003          0.45026    
                       69          0.67619          0.58282          0.27619          0.55679          0.53927    
                       70          0.59048          0.57055          0.25476          0.54017          0.56545    
                       71          0.52381          0.58282          0.30476          0.62604          0.45026    
                       72          0.50476          0.55215          0.65238          0.62881          0.49215    
                       73          0.57143          0.52761          0.73095          0.68144          0.43979    
                       74          0.63810          0.48466          0.74524          0.68421          0.43979    
                       75          0.55238          0.54601          0.78810          0.63712          0.45550    
                       76          0.48571          0.58282          0.77143          0.64820          0.76440    
                       77          0.42857          0.57055          0.67381          0.68421          0.82199    
                       78          0.45714          0.64417          0.71429          0.61773          0.73298    
                       79          0.52381          0.56442          0.69048          0.72022          0.87958    
                       80          0.39048          0.51534          0.71429          0.63712          0.84293    
                       81          0.58095          0.56442          0.73810          0.59834          0.85340    
                       82          0.41905          0.69325          0.75476          0.67867          0.81152    
                       83          0.66667          0.74233          0.68810          0.74238          0.82723    
                       84          0.49524          0.68098          0.04286          0.72853          0.86911    
                       85          0.69524          0.61963          0.65238          0.74238          0.79581    
                       86          0.61905          0.64417          0.69048          0.64543          0.85340    
                       87          0.52381          0.56442          0.65476          0.61219          0.81675    
                       88          0.60952          0.65644          0.67619          0.51524          0.80105    
                       89          0.60000          0.53374          0.72381          0.52909          0.67016    
                       90          0.56190          0.55215          0.73333          0.52355          0.56545    
                       91          0.57143          0.42945          0.69286          0.51801          0.68586    
                       92          0.60952          0.55215          0.62143          0.65097          0.79058    
                       93          0.75238          0.37423          0.70476          0.68698          0.82199    
