0      0.00 
1      0.29 
2      0.38 
3      0.48 
4      0.50 
5      0.53 
6      0.50 
7      0.50 
8      0.51 
9      0.50 
10      0.55 
11      0.57 
12      0.58 
13      0.57 
14      0.62 
15      0.69 
16      0.67 
17      0.70 
18      0.72 
19      0.77 
20      0.84 
21      0.81 
22      0.82 
23      0.87 
24      0.95 
25      0.95 
26      0.99 
27      1.03 
28      1.02 
29      0.99 
30      0.89 
31      0.84 
32      0.81 
33      0.77 
34      0.77 
35      0.75 
36      0.66 
37      0.65 
38      0.64 
39      0.65 
40      0.62 
41      0.65 
42      0.65 
43      0.59 
44      0.63 
45      0.63 
46      0.66 
47      0.72 
48      0.74 
49      0.70 
