                     LEU3        0.15183          0.36255          0.32461          0.37006          0.24092          0.45699          0.38138    
                        2          0.16230          0.36255          0.37696          0.33898          0.27723          0.41577          0.59760    
                        3          0.14660          0.24303          0.41885          0.35593          0.17822          0.42115          0.64264    
                        4          0.23560          0.26295          0.40314          0.41808          0.28383          0.47133          0.61862    
                        5          0.23037          0.26295          0.40838          0.59040          0.31683          0.48566          0.63664    
                        6          0.31414          0.30279          0.40838          0.63559          0.47525          0.48387          0.60060    
                        7          0.44503          0.37849          0.45026          0.67514          0.50495          0.41756          0.60661    
                        8          0.52356          0.45020          0.47120          0.64972          0.47525          0.41577          0.54955    
                        9          0.39791          0.44223          0.33508          0.61299          0.43894          0.38710          0.52252    
                       10          0.41885          0.54980          0.41885          0.64124          0.51155          0.53047          0.47447    
                       11          0.38220          0.48606          0.43979          0.68079          0.61056          0.50896          0.43844    
                       12          0.34031          0.44223          0.43979          0.68644          0.62706          0.47312          0.43243    
                       13          0.36649          0.51394          0.50262          0.74294          0.61716          0.41398          0.42042    
                       14          0.53927          0.53386          0.55497          0.80791          0.34653          0.40502          0.36336    
                       15          0.49215          0.55378          0.58639          0.83898          0.38284          0.49104          0.32432    
                       16          0.37696          0.62550          0.58115          0.88983          0.52805          0.52867          0.37538    
                       17          0.45550          0.56175          0.68063          0.86723          0.59736          0.51792          0.42042    
                       18          0.51309          0.55378          0.74346          0.85028          0.65677          0.55914          0.42643    
                       19          0.61257          0.56175          0.76440          0.87571          0.67327          0.58961          0.59159    
                       20          0.77487          0.54582          0.79058          0.81356          0.59406          0.55556          0.61562    
                       21          0.76963          0.64143          0.73298          0.75141          0.60396          0.58602          0.75676    
                       22          0.75393          0.64542          0.65969          0.72316          0.33003          0.63799          0.74474    
                       23          0.79058          0.69323          0.55497          0.69492          0.52145          0.69355          0.75676    
                       24          0.77487          0.63745          0.61780          0.60452          0.54455          0.67921          0.77778    
                       25          0.82723          0.63347          0.56021          0.65537          0.47855          0.68996          0.76877    
                       26          0.82199          0.60956          0.58115          0.60452          0.65347          0.59498          0.71772    
                       27          0.90052          0.62151          0.53403          0.59605          0.74917          0.62366          0.66967    
                       28          0.91623          0.64940          0.56545          0.62712          0.76898          0.62545          0.66366    
                       29          0.89005          0.73705          0.51832          0.71186          0.80528          0.60036          0.59159    
                       30          0.84293          0.72510          0.60733          0.76271          0.79868          0.58244          0.58258    
                       31          0.87435          0.66932          0.57068          0.77684          0.78548          0.55914          0.46547    
                       32          0.73298          0.68924          0.56545          0.82486          0.72937          0.58423          0.46246    
                       33          0.61780          0.66534          0.59686          0.79661          0.70957          0.63978          0.50450    
                       34          0.53927          0.64940          0.56545          0.66384          0.74587          0.64875          0.55556    
                       35          0.54450          0.62151          0.61780          0.61299          0.51485          0.75986          0.60060    
                       36          0.64921          0.61355          0.55497          0.54802          0.39274          0.77061          0.70571    
                       37          0.50262          0.53785          0.59686          0.54520          0.32013          0.79749          0.62162    
                       38          0.60209          0.50199          0.48691          0.48305          0.35644          0.77240          0.65165    
                       39          0.53403          0.50996          0.55497          0.51412          0.49835          0.80466          0.65766    
                       40          0.50262          0.48606          0.59686          0.53107          0.48845          0.80824          0.52853    
                       41          0.42932          0.48606          0.71728          0.55367          0.49175          0.76165          0.52553    
                       42          0.41885          0.52191          0.77487          0.56215          0.73927          0.69534          0.48649    
                       43          0.39791          0.42629          0.71728          0.56780          0.79868          0.64875          0.42042    
                       44          0.47120          0.37849          0.71204          0.53672          0.69967          0.67563          0.50751    
                       45          0.56021          0.34263          0.75916          0.54237          0.73267          0.73118          0.59159    
                       46          0.70681          0.35458          0.74869          0.51130          0.75578          0.70430          0.58258    
                       47          0.74869          0.28287          0.77487          0.57627          0.68647          0.68100          0.69069    
                       48          0.68586          0.18327          0.75916          0.64689          0.57756          0.67025          0.81982    
                       49          0.64398          0.20717          0.79058          0.73729          0.59076          0.70968          0.66667    
                       50          0.58639          0.14741          0.76963          0.74576          0.76238          0.78315          0.65165    
                       51          0.56021          0.20717          0.79058          0.72881          0.72937          0.80108          0.61562    
                       52          0.35079          0.28287          0.81675          0.74576          0.77558          0.74194          0.65465    
                       53          0.34031          0.31873          0.75916          0.79379          0.75578          0.76882          0.65165    
                       54          0.43979          0.35458          0.74869          0.79096          0.50495          0.77061          0.63664    
                       55          0.42408          0.35060          0.72775          0.81921          0.58416          0.74194          0.75375    
                       56          0.35602          0.37052          0.78010          0.83051          0.62046          0.69355          0.72372    
                       57          0.27225          0.30677          0.81675          0.78814          0.75248          0.63978          0.50751    
                       58          0.27749          0.36255          0.82199          0.68644          0.77558          0.62724          0.57357    
                       59          0.20942          0.45418          0.79058          0.75706          0.79868          0.64158          0.63063    
                       60          0.39267          0.51394          0.76963          0.75424          0.79868          0.73118          0.63964    
                       61          0.38220          0.54980          0.67016          0.77966          0.78548          0.75090          0.64565    
                       62          0.36649          0.48207          0.62304          0.83051          0.73927          0.75269          0.65465    
                       63          0.48168          0.49801          0.58639          0.78531          0.75578          0.77240          0.55856    
                       64          0.51832          0.52590          0.60209          0.77684          0.57096          0.82437          0.54054    
                       65          0.66492          0.62948          0.58115          0.74011          0.57756          0.86559          0.58258    
                       66          0.68063          0.66135          0.63351          0.77119          0.68647          0.85125          0.57357    
                       67          0.55497          0.64143          0.57068          0.77401          0.66337          0.85842          0.64264    
                       68          0.57592          0.52191          0.66492          0.79379          0.66667          0.87455          0.68468    
                       69          0.70681          0.52988          0.62827          0.78249          0.66997          0.92115          0.67868    
