0      0.34 
1      0.41 
2      0.45 
3      0.44 
4      0.50 
5      0.54 
6      0.58 
7      0.65 
8      0.64 
9      0.64 
10      0.61 
11      0.65 
12      0.64 
13      0.64 
14      0.66 
15      0.70 
16      0.77 
17      0.78 
18      0.77 
19      0.72 
20      0.65 
21      0.67 
22      0.65 
23      0.65 
24      0.65 
25      0.65 
26      0.62 
27      0.59 
28      0.65 
29      0.64 
30      0.62 
31      0.60 
32      0.60 
33      0.64 
34      0.64 
35      0.67 
36      0.60 
37      0.65 
38      0.67 
39      0.68 
40      0.62 
41      0.62 
42      0.63 
43      0.65 
44      0.65 
45      0.62 
46      0.63 
47      0.66 
48      0.68 
49      0.69 
50      0.71 
51      0.75 
52      0.77 
53      0.77 
54      0.77 
55      0.81 
56      0.82 
57      0.83 
58      0.88 
59      0.90 
60      0.94 
61      0.96 
62      0.96 
63      0.94 
64      0.95 
65      0.97 
66      0.95 
67      0.99 
68      1.02 
69      1.07 
70      1.07 
71      1.05 
72      0.95 
73      0.90 
74      0.89 
75      0.92 
76      0.97 
77      0.95 
78      0.95 
79      0.93 
80      0.90 
81      0.93 
82      0.90 
83      0.89 
84      0.87 
85      0.85 
86      0.90 
87      0.92 
88      0.97 
89      0.97 
90      0.94 
91      0.91 
92      0.88 
93      0.83 
94      0.80 
95      0.78 
96      0.75 
97      0.78 
98      0.84 
99      0.85 
