0      0.94 
1      0.92 
2      0.88 
3      0.85 
4      0.83 
5      0.80 
6      0.74 
7      0.70 
8      0.74 
9      0.81 
10      0.88 
11      0.92 
12      0.96 
13      0.98 
14      1.01 
15      1.06 
16      1.07 
17      1.07 
18      1.05 
19      1.01 
20      0.98 
21      0.89 
22      0.85 
23      0.83 
24      0.86 
25      0.85 
26      0.91 
27      0.94 
28      0.95 
29      0.92 
30      0.92 
31      0.92 
32      0.95 
33      0.96 
34      0.94 
35      0.92 
36      0.92 
37      0.94 
38      0.95 
39      0.99 
40      0.97 
41      0.93 
42      0.93 
43      0.88 
44      0.90 
45      0.98 
46      1.05 
47      1.13 
48      1.19 
49      1.22 
