0      0.81 
1      0.84 
2      0.81 
3      0.83 
4      0.92 
5      0.92 
6      0.92 
7      0.89 
8      0.79 
9      0.77 
10      0.79 
11      0.75 
12      0.71 
13      0.61 
14      0.55 
15      0.62 
16      0.66 
17      0.67 
18      0.75 
19      0.77 
20      0.72 
21      0.79 
22      0.84 
23      0.85 
24      0.87 
25      0.96 
26      1.00 
27      0.97 
28      0.89 
29      0.88 
30      0.82 
31      0.76 
32      0.75 
33      0.81 
34      0.90 
35      0.87 
36      0.85 
37      0.78 
38      0.77 
39      0.83 
40      0.84 
41      0.88 
42      0.90 
43      0.95 
44      0.96 
45      0.91 
46      0.96 
47      0.95 
48      0.98 
49      1.00 
50      1.02 
51      1.05 
52      1.06 
53      1.05 
54      1.02 
55      0.97 
56      0.91 
57      0.82 
58      0.91 
59      1.00 
60      1.06 
61      1.06 
62      1.06 
63      1.11 
64      1.14 
65      1.14 
66      1.20 
67      1.32 
68      1.47 
69      1.51 
70      1.47 
71      1.48 
72      1.45 
73      1.43 
74      1.33 
75      1.23 
76      1.09 
77      1.01 
78      0.98 
79      0.94 
80      0.86 
81      0.78 
82      0.80 
83      0.92 
84      0.93 
85      0.94 
86      0.99 
87      1.01 
88      1.01 
89      1.07 
90      1.08 
91      1.10 
92      1.09 
93      1.05 
94      1.08 
95      1.04 
96      1.04 
97      1.07 
98      1.06 
99      1.02 
