0      0.25 
1      0.34 
2      0.37 
3      0.37 
4      0.46 
5      0.49 
6      0.54 
7      0.60 
8      0.63 
9      0.60 
10      0.63 
11      0.63 
12      0.63 
13      0.64 
14      0.59 
15      0.55 
16      0.53 
17      0.52 
18      0.52 
19      0.56 
20      0.56 
21      0.51 
22      0.56 
23      0.62 
24      0.63 
25      0.63 
26      0.63 
27      0.59 
28      0.57 
29      0.56 
30      0.59 
31      0.57 
32      0.51 
33      0.50 
34      0.56 
35      0.63 
36      0.62 
37      0.66 
38      0.63 
39      0.63 
40      0.61 
41      0.64 
42      0.71 
43      0.74 
44      0.76 
45      0.79 
46      0.81 
47      0.82 
48      0.85 
49      0.85 
50      0.86 
51      0.84 
52      0.84 
53      0.89 
54      0.88 
55      0.90 
56      0.89 
57      0.84 
58      0.84 
59      0.81 
60      0.82 
61      0.84 
62      0.78 
63      0.75 
64      0.75 
65      0.78 
66      0.84 
67      0.96 
68      1.06 
69      1.08 
70      1.09 
71      1.08 
72      1.06 
73      1.10 
74      1.09 
75      1.04 
76      0.92 
77      0.84 
78      0.80 
79      0.80 
80      0.79 
81      0.80 
82      0.83 
83      0.80 
84      0.78 
85      0.73 
86      0.71 
87      0.68 
88      0.63 
89      0.63 
90      0.67 
91      0.68 
92      0.72 
93      0.78 
94      0.78 
95      0.79 
96      0.84 
97      0.82 
98      0.83 
99      0.81 
