                     LEU1        0.55128          0.30028          0.26457          0.28216          0.72581          0.97561    
                        2          0.50641          0.37110          0.22422          0.48133          0.80645          0.97561    
                        3          0.38462          0.35977          0.29148          0.69710          0.83871          0.97561    
                        4          0.46154          0.29178          0.43946          0.61411          0.91935          0.92683    
                        5          0.66026          0.53258          0.52018          0.43983          0.96774          0.95122    
                        6          0.71154          0.55807          0.58296          0.51867          1.00000          0.85366    
                        7          0.72436          0.57790          0.62332          0.61411          1.00000          0.78049    
                        8          0.77564          0.65722          0.64126          0.76763          1.00000          0.80488    
                        9          0.85897          0.62606          0.70852          0.72199          0.98387          0.95122    
                       10          0.78205          0.67422          0.78924          0.73029          0.88710          0.95122    
                       11          0.85256          0.67989          0.69955          0.75934          0.88710          0.97561    
                       12          0.93590          0.75637          0.68161          0.83817          0.90323          1.00000    
                       13          0.95513          0.85836          0.73543          0.88797          0.87097          0.75610    
                       14          0.91026          0.88385          0.75785          0.87552          0.93548          0.73171    
                       15          0.92949          0.87252          0.84305          0.85892          0.93548          0.73171    
                       16          0.97436          0.89802          0.82960          0.89627          0.93548          0.70732    
                       17          0.98077          0.88952          0.79821          0.92946          0.95161          0.75610    
                       18          0.93590          0.75354          0.76233          0.94606          0.88710          0.95122    
                       19          0.94231          0.74788          0.72646          0.92531          0.77419          0.92683    
                       20          0.96795          0.76771          0.76233          0.91286          0.75806          0.92683    
                       21          0.98077          0.74504          0.79821          0.92946          0.69355          1.00000    
                       22          0.93590          0.75637          0.77578          0.88382          0.69355          1.00000    
                       23          0.92949          0.83853          0.83408          0.89627          0.61290          1.00000    
                       24          0.87821          0.81586          0.69507          0.85892          0.59677          0.90244    
                       25          0.75641          0.77904          0.73991          0.87552          0.48387          0.82927    
                       26          0.73077          0.66006          0.89686          0.90041          0.35484          0.82927    
                       27          0.82051          0.62323          0.87892          0.77593          0.35484          0.87805    
                       28          0.63462          0.50708          0.76682          0.64730          0.45161          0.87805    
                       29          0.72436          0.66572          0.79372          0.69710          0.56452          0.92683    
                       30          0.64744          0.67989          0.85650          0.72199          0.61290          0.90244    
                       31          0.69872          0.68555          0.85650          0.84647          0.50000          0.82927    
                       32          0.58974          0.75071          0.87892          0.92116          0.54839          0.92683    
                       33          0.69872          0.66289          0.90135          0.89627          0.70968          0.95122    
                       34          0.78205          0.64023          0.89686          0.83817          0.80645          0.95122    
                       35          0.79487          0.68839          0.88341          0.80913          0.85484          0.80488    
                       36          0.87821          0.65722          0.86996          0.79668          0.82258          0.85366    
                       37          0.82692          0.58924          0.86996          0.58921          0.85484          0.80488    
                       38          0.91026          0.71388          0.93722          0.70124          0.91935          0.97561    
                       39          0.92949          0.69972          0.92377          0.81328          0.98387          0.97561    
                       40          0.83974          0.67989          0.89238          0.91286          0.96774          0.97561    
                       41          0.83974          0.67705          0.92377          0.86307          1.00000          0.85366    
                       42          0.85256          0.75354          0.84753          0.86722          0.98387          0.95122    
                       43          0.94872          0.81303          0.84753          0.78423          1.00000          0.95122    
                       44          0.92308          0.78754          0.78027          0.75519          0.98387          0.97561    
                       45          0.90385          0.90652          0.87892          0.79253          1.00000          0.92683    
                       46          0.75641          0.84703          0.86099          0.84647          1.00000          0.95122    
                       47          0.80128          0.86402          0.86099          0.82158          1.00000          0.90244    
                       48          0.73077          0.79320          0.79372          0.87967          1.00000          0.78049    
                       49          0.44231          0.73938          0.79372          0.74274          1.00000          0.63415    
                       50          0.75641          0.70822          0.82511          0.75104          1.00000          0.48780    
                       51          0.77564          0.75071          0.86547          0.69295          1.00000          0.58537    
                       52          0.78846          0.70255          0.82960          0.87552          1.00000          0.63415    
                       53          0.62179          0.70822          0.85202          0.80498          0.98387          0.53659    
                       54          0.49359          0.67989          0.78027          0.81743          0.83871          0.48780    
                       55          0.64744          0.67139          0.69058          0.80083          0.82258          0.39024    
                       56          0.76282          0.72805          0.61883          0.82988          0.77419          0.53659    
                       57          0.87821          0.79603          0.56951          0.78838          0.91935          0.73171    
                       58          0.87821          0.80737          0.70404          0.82988          0.96774          0.73171    
                       59          0.93590          0.90368          0.79821          0.73444          0.82258          0.80488    
                       60          0.93590          0.92635          0.62332          0.76349          0.77419          0.80488    
                       61          0.94231          0.90368          0.68161          0.85062          0.83871          0.90244    
                       62          0.65385          0.87535          0.69507          0.86722          0.79032          0.90244    
                       63          0.72436          0.81586          0.65919          0.90456          0.90323          0.75610    
                       64          0.82692          0.88102          0.75336          0.92946          0.98387          0.75610    
                       65          0.80128          0.84136          0.81166          0.90456          1.00000          0.65854    
                       66          0.75641          0.84136          0.89238          0.92116          0.85484          0.56098    
                       67          0.90385          0.75921          0.93722          0.92946          1.00000          0.46341    
                       68          0.94231          0.71388          0.83857          0.92531          0.90323          0.90244    
                       69          0.96795          0.83003          0.83857          0.91701          0.91935          0.82927    
                       70          0.96154          0.86686          0.94170          0.90456          0.96774          0.92683    
                       71          0.91026          0.83853          0.91031          0.93776          0.93548          1.00000    
                       72          0.83333          0.84986          0.89238          0.95436          0.93548          0.97561    
                       73          0.88462          0.89802          0.91928          0.99585          0.87097          0.90244    
                       74          0.78205          0.94051          0.84753          0.98340          0.87097          0.85366    
                       75          0.90385          0.98867          0.87892          0.94191          0.95161          0.87805    
                       76          0.98718          0.95467          0.88341          0.87967          0.88710          0.92683    
                       77          0.83333          0.91218          0.75336          0.86307          0.88710          0.92683    
                       78          0.83974          0.88669          0.75785          0.86722          0.87097          0.85366    
                       79          0.89744          0.88385          0.73543          0.84232          0.64516          0.95122    
