0      0.00 
1      0.49 
2      0.58 
3      0.71 
4      0.83 
5      0.86 
6      0.85 
7      0.85 
8      0.91 
9      0.83 
10      0.72 
11      0.66 
12      0.76 
13      0.80 
14      0.81 
15      0.85 
16      0.85 
17      0.85 
18      0.88 
19      0.85 
20      0.81 
21      0.74 
22      0.80 
23      0.72 
24      0.77 
25      0.69 
26      0.70 
27      0.92 
28      0.88 
29      0.81 
30      0.82 
31      0.81 
32      0.72 
33      0.69 
34      0.62 
35      0.70 
36      0.55 
37      0.49 
38      0.56 
39      0.60 
40      0.74 
41      0.70 
42      0.68 
43      0.72 
44      0.69 
45      0.67 
46      0.69 
47      0.71 
48      0.78 
49      0.88 
50      0.82 
51      0.89 
52      1.06 
53      1.06 
54      1.03 
55      1.02 
56      0.88 
57      0.86 
58      0.90 
59      0.87 
60      0.81 
61      0.80 
62      0.81 
63      0.85 
64      0.86 
65      0.82 
66      0.67 
67      0.66 
68      0.61 
69      0.52 
70      0.50 
71      0.54 
72      0.63 
73      0.73 
74      0.83 
75      0.80 
76      0.83 
77      0.79 
78      0.78 
79      0.77 
80      0.75 
81      0.79 
82      0.92 
83      0.89 
84      0.85 
85      0.76 
86      0.87 
87      0.78 
88      0.75 
89      0.73 
90      0.89 
91      0.87 
92      0.84 
93      0.71 
94      0.70 
95      0.71 
96      0.74 
97      0.84 
98      0.75 
99      0.80 
