0      0.74 
1      0.68 
2      0.62 
3      0.54 
4      0.54 
5      0.57 
6      0.62 
7      0.63 
8      0.70 
9      0.72 
10      0.75 
11      0.78 
12      0.82 
13      0.85 
14      0.85 
15      0.86 
16      0.90 
17      0.92 
18      0.90 
19      0.92 
20      0.92 
21      0.88 
22      0.88 
23      0.87 
24      0.78 
25      0.71 
26      0.73 
27      0.71 
28      0.77 
29      0.78 
30      0.78 
31      0.81 
32      0.81 
33      0.78 
34      0.80 
35      0.81 
36      0.81 
37      0.77 
38      0.74 
39      0.72 
40      0.68 
41      0.71 
42      0.74 
43      0.77 
44      0.81 
45      0.88 
46      0.83 
47      0.84 
48      0.87 
49      0.85 
