                     LEU0        0.88406          0.68868          0.58511          0.59361          0.83854          0.95833          0.61538    
                        2          0.84058          0.67925          0.59220          0.49772          0.81250          0.95000          0.61538    
                        3          0.76812          0.72642          0.67021          0.46575          0.76042          0.95000          0.61538    
                        4          0.81159          0.74528          0.64894          0.49772          0.78646          0.96667          0.67692    
                        5          0.89855          0.65094          0.65957          0.44749          0.61979          0.84167          0.69231    
                        6          0.88406          0.65094          0.66312          0.51598          0.65625          0.90000          0.64615    
                        7          0.97101          0.68868          0.65603          0.46575          0.72396          0.90833          0.60000    
                        8          0.98551          0.77358          0.72695          0.44292          0.68229          0.95000          0.63077    
                        9          0.95652          0.65094          0.80851          0.40639          0.51042          0.87500          0.58462    
                       10          0.88406          0.37736          0.82979          0.44292          0.47396          0.70833          0.53846    
                       11          0.52174          0.33962          0.78369          0.36986          0.42188          0.65833          0.64615    
                       12          0.33333          0.18868          0.81915          0.24201          0.37500          0.57500          0.64615    
                       13          0.34783          0.12264          0.81560          0.33333          0.40625          0.45000          0.69231    
                       14          0.40580          0.11321          0.74468          0.26027          0.34896          0.44167          0.56923    
                       15          0.20290          0.16981          0.76596          0.34247          0.38021          0.43333          0.55385    
                       16          0.13043          0.16981          0.78723          0.30137          0.33854          0.40833          0.69231    
                       17          0.31884          0.29245          0.76596          0.28767          0.36458          0.52500          0.67692    
                       18          0.24638          0.26415          0.74823          0.25571          0.42708          0.38333          0.76923    
                       19          0.43478          0.38679          0.75177          0.29680          0.52083          0.40833          0.69231    
                       20          0.39130          0.38679          0.76241          0.28767          0.58854          0.45833          0.61538    
                       21          0.37681          0.40566          0.72695          0.30137          0.53125          0.59167          0.47692    
                       22          0.31884          0.37736          0.72340          0.22831          0.54167          0.48333          0.44615    
                       23          0.17391          0.29245          0.72695          0.24658          0.48438          0.52500          0.41538    
                       24          0.28986          0.31132          0.73759          0.30594          0.52083          0.50000          0.60000    
                       25          0.39130          0.20755          0.73050          0.23288          0.49479          0.48333          0.43077    
                       26          0.39130          0.32075          0.69149          0.28311          0.54688          0.51667          0.44615    
                       27          0.28986          0.32075          0.65603          0.25571          0.54167          0.48333          0.58462    
                       28          0.24638          0.23585          0.53901          0.26484          0.50000          0.51667          0.49231    
                       29          0.24638          0.38679          0.49291          0.28311          0.51562          0.41667          0.60000    
                       30          0.18841          0.40566          0.43972          0.24201          0.48958          0.35833          0.44615    
                       31          0.17391          0.24528          0.39362          0.20548          0.48958          0.46667          0.26154    
                       32          0.21739          0.20755          0.34043          0.21461          0.42708          0.46667          0.49231    
                       33          0.30435          0.16981          0.28369          0.24201          0.52604          0.55000          0.40000    
                       34          0.24638          0.25472          0.21986          0.19635          0.52083          0.50833          0.27692    
                       35          0.18841          0.31132          0.24468          0.18721          0.55729          0.48333          0.15385    
                       36          0.30435          0.33962          0.36879          0.15525          0.55729          0.61667          0.20000    
                       37          0.30435          0.37736          0.40071          0.16895          0.57292          0.65833          0.43077    
                       38          0.17391          0.46226          0.45035          0.14612          0.58854          0.59167          0.33846    
                       39          0.21739          0.52830          0.42553          0.11872          0.59896          0.45833          0.33846    
