#  volume - exposure - pos-charge - neg-charge - h-donor- h-acceptor - hydrophob - aromatic - metal
0    3.793e+02    1.076e+01    2.295e+01    3.256e+01    8.784e+01    9.497e+01    5.375e+01    6.827e+00    0.000e+00
1    4.444e+02    1.007e+01    1.907e+01    3.155e+01    8.482e+01    9.861e+01    7.731e+01    2.471e+01    0.000e+00
2    3.953e+02    1.102e+01    1.774e+01    3.415e+01    7.808e+01    8.956e+01    6.239e+01    1.528e+01    0.000e+00
3    3.843e+02    1.107e+01    1.571e+01    2.924e+01    6.531e+01    7.882e+01    6.810e+01    1.602e+01    0.000e+00
4    3.770e+02    1.165e+01    1.243e+01    2.686e+01    6.247e+01    7.966e+01    6.524e+01    1.498e+01    0.000e+00
5    3.579e+02    1.368e+01    1.142e+01    2.510e+01    6.458e+01    7.868e+01    5.754e+01    1.191e+01    0.000e+00
6    4.085e+02    1.481e+01    7.343e+00    3.293e+01    7.491e+01    9.911e+01    6.310e+01    1.208e+01    0.000e+00
7    3.401e+02    1.432e+01    2.548e+00    2.749e+01    5.200e+01    8.361e+01    5.396e+01    1.225e+01    0.000e+00
8    3.752e+02    1.521e+01    3.581e+00    3.184e+01    5.894e+01    9.242e+01    6.121e+01    1.433e+01    0.000e+00
9    3.882e+02    1.565e+01    4.332e+00    3.509e+01    6.097e+01    9.445e+01    6.265e+01    1.491e+01    0.000e+00
10    3.859e+02    1.364e+01    3.699e+00    3.412e+01    5.470e+01    9.418e+01    6.364e+01    1.642e+01    0.000e+00
11    4.540e+02    1.296e+01    6.032e+00    4.178e+01    7.411e+01    1.170e+02    7.036e+01    1.549e+01    0.000e+00
12    4.453e+02    1.233e+01    8.026e+00    3.759e+01    6.672e+01    1.072e+02    7.013e+01    1.765e+01    0.000e+00
13    5.236e+02    1.079e+01    1.304e+01    4.211e+01    8.454e+01    1.242e+02    9.035e+01    2.428e+01    0.000e+00
14    4.453e+02    1.144e+01    7.452e+00    3.558e+01    5.732e+01    1.082e+02    7.736e+01    2.411e+01    0.000e+00
15    4.902e+02    1.278e+01    5.461e+00    3.810e+01    7.244e+01    1.175e+02    8.703e+01    2.585e+01    0.000e+00
16    4.850e+02    1.164e+01    4.504e+00    3.354e+01    7.889e+01    1.125e+02    8.866e+01    2.714e+01    0.000e+00
17    4.729e+02    1.023e+01    3.841e+00    3.539e+01    7.052e+01    1.083e+02    8.828e+01    2.712e+01    0.000e+00
18    4.814e+02    1.148e+01    3.371e+00    3.327e+01    7.369e+01    1.063e+02    9.317e+01    2.867e+01    0.000e+00
19    4.802e+02    1.269e+01    3.595e+00    3.279e+01    6.841e+01    1.039e+02    9.358e+01    2.670e+01    0.000e+00
20    4.930e+02    1.279e+01    7.428e+00    3.187e+01    7.630e+01    1.071e+02    9.706e+01    3.049e+01    0.000e+00
21    3.652e+02    1.347e+01    7.757e+00    2.781e+01    5.991e+01    8.520e+01    5.811e+01    1.741e+01    0.000e+00
22    3.588e+02    1.178e+01    6.718e+00    2.983e+01    5.851e+01    8.560e+01    5.477e+01    1.756e+01    0.000e+00
23    3.682e+02    1.165e+01    7.899e+00    2.771e+01    5.630e+01    8.639e+01    5.968e+01    1.908e+01    0.000e+00
24    3.536e+02    1.160e+01    8.132e+00    2.556e+01    5.500e+01    8.583e+01    5.536e+01    1.716e+01    0.000e+00
25    4.252e+02    1.133e+01    5.967e+00    2.547e+01    5.789e+01    9.804e+01    7.441e+01    2.412e+01    0.000e+00
26    4.172e+02    1.041e+01    6.056e+00    2.656e+01    6.079e+01    9.249e+01    7.160e+01    2.337e+01    0.000e+00
27    4.579e+02    1.180e+01    8.539e+00    3.236e+01    6.994e+01    1.001e+02    8.289e+01    2.477e+01    0.000e+00
28    4.448e+02    1.272e+01    6.588e+00    3.031e+01    6.555e+01    9.838e+01    7.979e+01    2.298e+01    0.000e+00
29    4.245e+02    1.222e+01    3.966e+00    2.957e+01    5.166e+01    9.157e+01    7.445e+01    2.129e+01    0.000e+00
30    4.457e+02    1.000e+01    2.948e+00    3.103e+01    6.857e+01    9.703e+01    8.574e+01    3.064e+01    0.000e+00
31    4.957e+02    1.170e+01    8.322e+00    3.627e+01    8.583e+01    1.101e+02    9.259e+01    3.098e+01    0.000e+00
32    4.592e+02    1.018e+01    9.030e+00    3.399e+01    7.219e+01    1.027e+02    8.190e+01    2.557e+01    0.000e+00
33    4.152e+02    8.446e+00    1.247e+01    2.986e+01    6.280e+01    9.608e+01    7.250e+01    2.387e+01    0.000e+00
34    4.177e+02    8.333e+00    1.540e+01    2.984e+01    6.559e+01    9.539e+01    7.618e+01    2.632e+01    0.000e+00
35    4.263e+02    8.855e+00    1.790e+01    3.162e+01    8.237e+01    1.013e+02    7.416e+01    2.390e+01    0.000e+00
36    4.142e+02    1.008e+01    1.694e+01    3.022e+01    7.989e+01    9.682e+01    7.048e+01    2.235e+01    0.000e+00
37    4.106e+02    1.144e+01    1.511e+01    2.753e+01    8.160e+01    9.657e+01    6.839e+01    2.063e+01    0.000e+00
38    3.809e+02    9.006e+00    1.176e+01    2.275e+01    6.658e+01    8.492e+01    6.608e+01    2.420e+01    0.000e+00
