                     LEU1        0.14286          0.11792          0.42487          0.36970          0.00000          0.48039          0.71429          0.33846          0.11952          0.77295          0.31159          0.00000          0.17089          0.23982          0.13287          0.71429    
                        2          0.05495          0.14151          0.33679          0.30909          0.00000          0.52941          0.66071          0.53077          0.07171          0.76812          0.32609          0.01316          0.26582          0.42081          0.20979          0.83333    
                        3          0.00000          0.22642          0.54404          0.21212          0.00000          0.53922          0.61310          0.45385          0.07968          0.80676          0.35507          0.00658          0.46835          0.42534          0.31119          0.71429    
                        4          0.02198          0.34434          0.62176          0.27879          0.00000          0.67647          0.53571          0.46154          0.13546          0.89372          0.50725          0.01316          0.45570          0.21719          0.27972          0.64286    
                        5          0.13187          0.37736          0.76684          0.58788          0.23711          0.78431          0.55952          0.40000          0.18725          0.87440          0.65942          0.63158          0.32278          0.17647          0.20629          0.69048    
                        6          0.06593          0.43396          0.79793          0.71515          0.11856          0.85294          0.54762          0.50000          0.22709          0.91787          0.77536          0.67763          0.36076          0.22172          0.26923          0.42857    
                        7          0.06593          0.40094          0.68912          0.67273          0.04639          0.87255          0.48214          0.56154          0.29880          0.86957          0.71014          0.51974          0.31013          0.35294          0.36364          0.40476    
                        8          0.09890          0.35849          0.50777          0.81212          0.01031          0.89216          0.39286          0.63077          0.34263          0.84058          0.71014          0.51316          0.63924          0.52941          0.34615          0.73810    
                        9          0.13187          0.42453          0.23834          0.72121          0.01546          0.86275          0.49405          0.73077          0.39442          0.82126          0.56522          0.54605          0.60759          0.51131          0.27273          0.73810    
                       10          0.14286          0.40094          0.19689          0.70303          0.02577          0.78431          0.61905          0.63846          0.46614          0.85024          0.44203          0.55921          0.63924          0.52941          0.26224          0.59524    
                       11          0.86813          0.37736          0.21244          0.68485          0.08247          0.75490          0.70238          0.61538          0.34661          0.83575          0.52174          0.62500          0.78481          0.42534          0.30769          0.54762    
                       12          0.86813          0.37264          0.59585          0.72121          0.19072          0.67647          0.54762          0.70000          0.35060          0.85024          0.53623          0.78289          0.74051          0.47511          0.37762          0.80952    
                       13          0.89011          0.50472          0.43005          0.80606          0.23711          0.59804          0.39881          0.68462          0.39442          0.81159          0.39855          0.82237          0.75316          0.62443          0.41958          0.50000    
                       14          0.71429          0.53774          0.31088          0.81212          0.24227          0.69608          0.42857          0.61538          0.42231          0.81159          0.55072          0.88158          0.74684          0.67873          0.38811          0.14286    
                       15          0.68132          0.53774          0.12435          0.70909          0.25773          0.76471          0.39881          0.64615          0.48207          0.84058          0.55072          0.88158          0.65823          0.63348          0.37762          0.09524    
                       16          0.64835          0.37736          0.37824          0.83636          0.39175          0.69608          0.41667          0.80769          0.54582          0.85990          0.40580          0.88816          0.57595          0.61086          0.66783          0.59524    
