              trj_shorten        0.67626          0.25974          0.00000          0.17073          0.13932          0.00000          0.00000          0.02280          0.46135    
                        2          0.83453          0.31169          0.01894          0.04878          0.23529          0.00000          0.29442          0.49186          0.70574    
                        3          0.79137          0.15584          0.00000          0.10865          0.16409          0.00000          0.00000          0.05537          0.40399    
                        4          0.84892          0.12338          0.01136          0.10200          0.26006          0.02899          0.22843          0.31270          0.57107    
                        5          0.77338          0.22078          0.00000          0.03548          0.19505          0.00362          0.00000          0.00000          0.43890    
                        6          0.78058          0.09740          0.00379          0.09313          0.22910          0.00000          0.00000          0.00000          0.43641    
                        7          0.82374          0.19481          0.00758          0.13525          0.25387          0.23188          0.33249          0.52769          0.29676    
                        8          0.77698          0.14935          0.19697          0.25499          0.00310          0.28986          0.30457          0.83713          0.21197    
                        9          0.87410          0.18831          0.08712          0.17073          0.04025          0.28261          0.36802          0.70684          0.66085    
                       10          0.83094          0.31169          0.07576          0.15299          0.17028          0.02899          0.04569          0.52117          0.71322    
                       11          0.83813          0.26623          0.20455          0.15299          0.14551          0.10870          0.04569          0.56678          0.68329    
                       12          0.78058          0.15584          0.25758          0.33925          0.22291          0.13406          0.07107          0.56026          0.67830    
                       13          0.84892          0.29870          0.38258          0.36142          0.30960          0.01087          0.00000          0.28339          0.57855    
                       14          0.73741          0.25974          0.12500          0.14191          0.51703          0.07246          0.02538          0.43974          0.60599    
                       15          0.92446          0.22078          0.23864          0.08647          0.65325          0.32609          0.25635          0.41042          0.47880    
                       16          0.82734          0.54545          0.16667          0.01552          0.47368          0.40942          0.42132          0.65472          0.63591    
                       17          0.68705          0.33117          0.05682          0.13747          0.46749          0.51812          0.67259          0.73616          0.72319    
                       18          0.76978          0.49351          0.03030          0.33259          0.13622          0.63406          0.70812          0.78502          0.73815    
                       19          0.84892          0.50000          0.08712          0.79601          0.09907          0.66667          0.64975          0.80130          0.71072    
                       20          0.80576          0.40260          0.16288          0.55432          0.04025          0.36232          0.33756          0.66775          0.35661    
                       21          0.77698          0.35065          0.18561          0.60754          0.15480          0.31884          0.47716          0.82085          0.65087    
                       22          0.73381          0.45455          0.06439          0.81375          0.00000          0.38768          0.50000          0.70358          0.57107    
                       23          0.71223          0.39610          0.06439          0.83370          0.00000          0.60870          0.43909          0.68730          0.72319    
                       24          0.86691          0.26623          0.10606          0.75831          0.05263          0.51087          0.51777          0.80130          0.71820    
                       25          0.78417          0.38961          0.14773          0.74723          0.08359          0.70290          0.55838          0.87622          0.74065    
                       26          0.80935          0.35065          0.01515          0.80266          0.00000          0.47464          0.39594          0.71336          0.67581    
                       27          0.74460          0.34416          0.12500          0.62749          0.00000          0.33333          0.41117          0.70358          0.49377    
                       28          0.78777          0.51299          0.02273          0.76718          0.00310          0.26087          0.32995          0.59609          0.44140    
                       29          0.73741          0.31818          0.04545          0.53659          0.08050          0.18841          0.54822          0.78827          0.45885    
                       30          0.73741          0.24675          0.15530          0.42350          0.39319          0.07609          0.49746          0.67427          0.52369    
                       31          0.85252          0.38961          0.05682          0.10643          0.58204          0.03261          0.08376          0.45603          0.64589    
                       32          0.76978          0.31169          0.10985          0.66297          0.54489          0.19565          0.41117          0.57980          0.67830    
                       33          0.66547          0.33766          0.06439          0.10865          0.52012          0.02536          0.03046          0.49186          0.62344    
                       34          0.80576          0.23377          0.06439          0.05765          0.61300          0.06522          0.08376          0.56026          0.80299    
                       35          0.83094          0.39610          0.16667          0.44568          0.49536          0.39493          0.63198          0.88925          0.72569    
                       36          0.81295          0.33117          0.16288          0.51441          0.67492          0.56884          0.62437          0.74919          0.75062    
                       37          0.66187          0.34416          0.38258          0.56763          0.68111          0.73551          0.92132          0.81107          0.39152    
                       38          0.72302          0.33766          0.29924          0.72062          0.61300          0.95290          0.84010          0.77524          0.80050    
                       39          0.69424          0.16234          0.17045          0.84479          0.23839          0.87681          0.76142          0.74593          0.63342    
                       40          0.75899          0.04545          0.33333          0.79823          0.05263          0.84420          0.60914          0.85668          0.76309    
                       41          0.86691          0.34416          0.21212          0.92239          0.37771          0.72101          0.66244          0.75244          0.55362    
                       42          0.57554          0.13636          0.22348          0.93348          0.11146          0.77536          0.77411          0.82736          0.31421    
                       43          0.70504          0.05195          0.19318          0.90909          0.03406          0.69565          0.48731          0.65798          0.86284    
                       44          0.74460          0.27922          0.16288          0.73836          0.26006          0.68478          0.60660          0.81107          0.80798    
                       45          0.69424          0.27273          0.35227          0.59645          0.09907          0.32971          0.70558          0.79805          0.82045    
                       46          0.82374          0.37662          0.24621          0.54102          0.08050          0.54710          0.72589          0.84365          0.59352    
                       47          0.74820          0.58442          0.36742          0.16851          0.61920          0.09783          0.44924          0.61889          0.16958    
                       48          0.57914          0.50649          0.46970          0.13747          0.73375          0.51449          0.71574          0.54072          0.66334    
                       49          0.68345          0.27273          0.76515          0.09091          0.79257          0.55435          0.40609          0.82410          0.53117    
                       50          0.78417          0.54545          0.87879          0.34590          0.78947          0.66667          0.49492          0.87622          0.40150    
                       51          0.64388          0.44805          0.82576          0.38359          0.79257          0.71739          0.45178          0.90554          0.55112    
                       52          0.62590          0.70779          0.89394          0.28381          0.73065          0.76449          0.47208          0.85993          0.31920    
                       53          0.70144          0.74026          0.82576          0.27051          0.66563          0.82609          0.43147          0.74919          0.04988    
                       54          0.79137          0.68182          0.53030          0.27051          0.69040          0.89130          0.71320          0.85993          0.13466    
                       55          0.61511          0.54545          0.65530          0.18847          0.69350          0.73913          0.72843          0.82085          0.11721    
